id_cliente,fecha_registro,edad,genero,region,estado_civil,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,uso_app,tipo_plan,num_productos,tiene_tarjeta_credito,canal_registro,dia_semana_registro,hora_registro,codigo_postal,abandono
178,2022-02-16,58,Otro,Centro,Soltero,574734.3200584138,124060.69460504944,1567047.14029442,706.7732751420627,109,12,133,Alto,Premium,2,0,Tienda,Sabado,11,8146,1
178,2022-02-16,58,Otro,Centro,Soltero,574734.3200584138,124060.69460504944,1567047.14029442,706.7732751420627,109,12,133,Alto,Premium,2,0,Tienda,Sabado,11,8146,1
216,2021-05-23,77,Femenino,Centro,Divorciado,696251.2837668866,755824.5229481133,2522168.167828433,691.3809085130056,30,14,217,Alto,Estandar,5,1,App,Sabado,6,4541,1
216,2021-05-23,77,Femenino,Centro,Divorciado,696251.2837668866,755824.5229481133,2522168.167828433,691.3809085130056,30,14,217,Alto,Estandar,5,1,App,Sabado,6,4541,1
327,2019-07-15,43,Femenino,Sur,Soltero,611018.6911099599,238932.15663227977,876436.4150002855,618.1834926419735,21,11,303,Medio,Basico,3,0,App,Lunes,11,6291,0
327,2019-07-15,43,Femenino,Sur,Soltero,611018.6911099599,238932.15663227977,876436.4150002855,618.1834926419735,21,11,303,Medio,Basico,3,0,App,Lunes,11,6291,0
354,2020-06-12,53,Otro,Sur,Divorciado,227512.73162523413,602873.9625129688,2863745.2440174823,473.80721979870646,1,7,180,Bajo,Premium,4,1,Web,Domingo,9,5028,1
354,2020-06-12,53,Otro,Sur,Divorciado,227512.73162523413,602873.9625129688,2863745.2440174823,473.80721979870646,1,7,180,Bajo,Premium,4,1,Web,Domingo,9,5028,1
416,2023-06-18,52,Otro,Sur,Soltero,719031.1920463993,566826.800985239,2735518.29019751,586.009634865439,64,14,107,Bajo,Premium,5,0,Web,Martes,7,1813,1
416,2023-06-18,52,Otro,Sur,Soltero,719031.1920463993,566826.800985239,2735518.29019751,586.009634865439,64,14,107,Bajo,Premium,5,0,Web,Martes,7,1813,1
490,2022-09-07,34,Masculino,Norte,Divorciado,939993.5018063706,366979.5422736886,1510647.0285290603,599.7136016498674,42,13,139,Bajo,Premium,4,1,Tienda,Sabado,13,8508,1
490,2022-09-07,34,Masculino,Norte,Divorciado,939993.5018063706,366979.5422736886,1510647.0285290603,599.7136016498674,42,13,139,Bajo,Premium,4,1,Tienda,Sabado,13,8508,1
517,2018-07-12,77,Masculino,Centro,Casado,1003844.823630901,404668.3891389726,2302679.5044892365,648.433067414367,92,13,363,Medio,Estandar,5,0,Web,Miercoles,11,9977,0
517,2018-07-12,77,Masculino,Centro,Casado,1003844.823630901,404668.3891389726,2302679.5044892365,648.433067414367,92,13,363,Medio,Estandar,5,0,Web,Miercoles,11,9977,0
599,2022-12-30,70,Femenino,Centro,Casado,852980.8356660064,541309.3186444438,7320297.829046821,562.1609290720166,62,10,128,Bajo,Basico,3,0,Tienda,Sabado,4,1849,0
